Q	340279	519122
Q	503088	17964
Q	262199	503388
Q	113471	289447
Q	8078	62546
Q	383368	401679
Q	353995	272468
Q	156162	332705
Q	369373	209869
Q	249964	58955
Q	16363	230195
Q	275853	467846
Q	392417	190290
Q	105371	275159
Q	203347	529628
Q	119591	490565
Q	134350	92733
Q	396556	396663
Q	463415	464959
Q	161873	416409
Q	528381	670
Q	401905	235326
Q	471159	242462
Q	413446	33870
Q	335426	24761
Q	365979	394763
Q	98247	380562
Q	327344	42165
Q	370379	100418
Q	426869	346788
Q	401787	102482
Q	429948	296853
Q	287067	379397
Q	327751	167745
Q	175941	311364
Q	497400	332106
Q	542638	421118
Q	264028	231990
Q	227081	80020
Q	253981	260055
Q	212969	233631
Q	111281	67323
Q	457910	396116
Q	445358	232363
Q	481434	226523
Q	257409	365307
Q	213951	152948
Q	137955	86800
Q	548295	148257
Q	140946	468890
Q	273114	99070
Q	424079	276251
Q	53646	94682
Q	252264	431137
Q	316957	176816
Q	4774	53840
Q	528963	255412
Q	523064	87857
Q	37716	443108
Q	298979	481531
Q	194397	115469
Q	50877	500023
Q	226280	333666
Q	303511	282621
Q	430930	144094
Q	421694	188477
Q	453484	437878
Q	130927	442742
Q	536784	282728
Q	41885	319941
Q	501849	453280
Q	204915	43491
Q	544206	381379
Q	306181	180353
Q	165086	417067
Q	369084	468382
Q	530314	142749
Q	477589	424742
Q	377406	209308
Q	413120	454620
Q	345321	481532
Q	258770	372149
Q	292719	394780
Q	301662	459515
Q	503089	429894
Q	464159	248303
Q	230727	499678
Q	349639	538074
Q	348294	255930
Q	221564	445140
Q	185991	514301
Q	501370	362843
Q	229938	336848
Q	467649	70593
Q	77772	219521
Q	452358	416185
Q	278655	348966
Q	258195	458673
Q	135820	186358
Q	109444	530564
Q	206350	406558
Q	110100	375789
Q	26843	59342
Q	423210	239102
Q	330265	119742
Q	276196	445154
Q	400456	404859
Q	317786	497559
Q	517961	7423
Q	96103	170528
Q	102430	106896
Q	196370	318849
Q	289236	298895
Q	166481	294849
Q	504101	417004
Q	353420	395451
Q	59450	483562
Q	1362	516261
Q	108966	35593
F
Q	533502	149225
Q	233071	48611
Q	253378	371405
Q	422469	172556
Q	545854	207637
Q	333528	98075
Q	288593	547670
Q	418475	120981
Q	420564	8006
Q	223670	296234
Q	546863	82950
Q	112449	331375
Q	273008	216884
Q	450867	12588
Q	47095	197611
Q	378933	75397
Q	395045	193995
Q	344653	241294
Q	322800	477314
Q	167355	118698
Q	21036	542064
Q	362905	49723
Q	447466	369111
Q	399492	514164
Q	21243	541422
Q	250320	149206
Q	379263	78573
Q	399602	152710
Q	521652	249822
Q	164048	101151
Q	509745	295330
Q	414742	406309
Q	534605	27796
Q	489339	92502
Q	415995	162104
Q	413625	121687
Q	474351	367406
Q	311026	395445
Q	294559	481018
Q	159499	228132
Q	27395	398289
Q	66939	19172
Q	48293	165286
Q	95959	436051
Q	143722	128914
Q	4584	78556
Q	484826	175229
Q	434763	70122
Q	257096	157037
Q	362030	256399
Q	348952	503167
Q	72482	110363
Q	288472	107263
Q	24864	56863
Q	135578	6436
Q	464730	93325
Q	3115	415718
Q	507975	310825
Q	500824	270056
Q	3594	172956
Q	123631	210374
Q	44928	316156
Q	503450	477678
Q	108225	479789
Q	208464	335652
Q	238411	459564
Q	132738	305014
Q	269725	469999
Q	41761	35915
Q	305118	113533
Q	369382	134893
Q	310362	389899
Q	253576	202611
Q	255793	285437
Q	538694	409644
Q	384628	139570
Q	448382	390837
Q	202115	141760
Q	203919	411521
Q	391550	378500
Q	265086	337071
Q	527565	138440
Q	419421	304966
Q	340160	227735
Q	303510	506457
Q	495457	375807
Q	105051	218026
Q	367769	129542
Q	379726	110107
Q	296521	272713
Q	145513	109395
Q	256200	521998
Q	227221	90648
Q	342156	542300
Q	532713	54147
Q	529902	397400
Q	525535	532226
Q	95612	31105
Q	454783	444701
Q	32811	215052
Q	157888	282536
Q	46849	179213
Q	125010	92038
Q	176619	124964
Q	255090	418805
Q	54653	132273
Q	123103	7123
Q	319250	48430
Q	380497	474713
Q	157367	61951
Q	426628	385651
Q	64748	102517
Q	27677	25901
Q	33063	374384
Q	382431	447350
Q	487991	68498
Q	158270	381905
Q	213297	551744
Q	39663	216125
Q	207582	466524
Q	536237	170928
Q	159223	74503
Q	472057	171843
Q	69098	355787
Q	399794	122868
Q	295315	407169
Q	320647	83315
Q	66039	53
Q	351597	488966
Q	81519	480023
Q	73641	232006
Q	420600	397888
Q	396447	208155
Q	331072	467855
Q	320197	153354
Q	109640	311364
Q	298992	444974
Q	504462	432476
Q	214328	491866
Q	319669	274008
Q	405942	427346
Q	290900	206304
Q	543058	20996
Q	277073	297891
Q	419904	241554
Q	270017	390403
Q	107677	231597
Q	263260	33099
Q	307749	461734
Q	277241	218361
Q	174415	114187
Q	528420	309548
Q	397153	79244
Q	231273	505816
Q	432863	373014
Q	200196	17820
Q	535252	228283
Q	270392	154822
Q	335744	500063
Q	536603	277003
Q	201511	197664
Q	280924	459383
Q	543042	71566
Q	507981	116448
Q	446116	172360
Q	288693	125815
Q	214456	68015
Q	175405	85892
Q	341362	238180
Q	236616	216705
Q	488953	163812
Q	254476	200804
Q	532923	331839
Q	143067	363124
Q	254033	438528
Q	474074	91024
Q	481846	10500
Q	236252	107768
Q	364311	3530
Q	383545	28101
Q	158027	78252
Q	270379	434428
Q	351798	521069
Q	453067	461566
Q	76842	73229
Q	290111	442582
Q	21177	261733
Q	55859	228190
Q	500249	210199
Q	169742	77053
Q	398975	407300
Q	304798	238562
Q	547280	278580
Q	215209	545069
Q	256909	42383
Q	223659	334448
Q	363599	36772
Q	162807	454291
Q	275094	111321
Q	502575	258412
Q	181499	517075
Q	14983	8313
Q	464078	43131
Q	134216	42513
Q	443826	252252
Q	294390	249314
Q	337798	27066
Q	496871	185443
Q	516419	209596
Q	506114	28848
Q	513874	515950
Q	365369	303869
Q	236383	121400
Q	436721	35151
Q	104786	309203
Q	23918	57142
Q	443637	421654
Q	200033	38814
Q	441980	7225
Q	121879	87651
Q	126541	304735
Q	78304	411801
Q	70574	366668
Q	524905	84042
Q	80153	262720
Q	229253	16498
Q	146173	76287
Q	436565	492177
Q	237712	523045
Q	429528	317189
Q	235419	191100
Q	302755	232858
Q	158779	406090
Q	106323	193819
Q	262205	283353
Q	401187	106018
Q	533687	28411
Q	310689	222382
Q	367169	82856
Q	218025	43627
Q	429386	47103
Q	505543	333207
F
Q	129042	506065
Q	468400	547270
Q	377266	446951
Q	359299	295239
Q	11822	406157
Q	531928	216091
Q	89697	141396
Q	260000	460966
Q	280637	425438
Q	469936	36958
Q	360522	71407
Q	99983	358056
Q	48548	171599
Q	473964	264513
Q	165438	399444
Q	398768	85672
Q	131969	256916
Q	459885	6626
Q	176084	247490
Q	409563	384315
Q	8634	440589
Q	396450	112073
Q	195330	446359
Q	473413	370171
Q	43416	171775
Q	300795	48016
Q	401390	81918
Q	249291	549311
Q	370354	255744
Q	97609	445734
Q	360978	471137
Q	427658	477466
Q	265949	210204
Q	147533	417283
Q	382072	63018
Q	293489	424022
Q	467590	73960
Q	465283	550878
Q	266185	433169
Q	486201	151539
Q	51125	435845
Q	92473	324301
Q	71316	407822
Q	374518	531387
Q	38959	372481
Q	266225	535637
Q	132138	544948
Q	163180	145287
Q	69959	34173
Q	70007	306084
Q	271697	247856
Q	464599	280991
Q	5377	82586
Q	222244	335977
Q	120380	37485
Q	255929	143114
Q	82965	105839
Q	363077	422201
Q	59320	82506
